Sexo;Comunidades autonomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Andalucia;Mediana;2022;19.884
Ambos sexos;Andalucia;Mediana;2021;19.522
Ambos sexos;Andalucia;Mediana;2020;18.767
Ambos sexos;Andalucia;Mediana;2019;18.672
Ambos sexos;Andalucia;Mediana;2018;18.317
Ambos sexos;Andalucia;Mediana;2017;18.252
Ambos sexos;Andalucia;Mediana;2016;18.052
Ambos sexos;Andalucia;Mediana;2015;18.102
Ambos sexos;Andalucia;Mediana;2014;18.034
Ambos sexos;Andalucia;Mediana;2013;17.722
Ambos sexos;Andalucia;Mediana;2012;17.910
Ambos sexos;Andalucia;Mediana;2011;18.194
Ambos sexos;Andalucia;Mediana;2010;17.566
Ambos sexos;Andalucia;Mediana;2009;17.866
Ambos sexos;Andalucia;Mediana;2008;17.372
Ambos sexos;Aragon;Mediana;2022;22.734
Ambos sexos;Aragon;Mediana;2021;22.220
Ambos sexos;Aragon;Mediana;2020;21.208
Ambos sexos;Aragon;Mediana;2019;20.605
Ambos sexos;Aragon;Mediana;2018;20.860
Ambos sexos;Aragon;Mediana;2017;20.198
Ambos sexos;Aragon;Mediana;2016;19.418
Ambos sexos;Aragon;Mediana;2015;19.589
Ambos sexos;Aragon;Mediana;2014;19.540
Ambos sexos;Aragon;Mediana;2013;19.095
Ambos sexos;Aragon;Mediana;2012;19.095
Ambos sexos;Aragon;Mediana;2011;19.647
Ambos sexos;Aragon;Mediana;2010;19.552
Ambos sexos;Aragon;Mediana;2009;19.413
Ambos sexos;Aragon;Mediana;2008;19.085
Ambos sexos;Principado de Asturias;Mediana;2022;23.002
Ambos sexos;Principado de Asturias;Mediana;2021;21.975
Ambos sexos;Principado de Asturias;Mediana;2020;21.332
Ambos sexos;Principado de Asturias;Mediana;2019;21.559
Ambos sexos;Principado de Asturias;Mediana;2018;20.890
Ambos sexos;Principado de Asturias;Mediana;2017;20.175
Ambos sexos;Principado de Asturias;Mediana;2016;20.081
Ambos sexos;Principado de Asturias;Mediana;2015;19.960
Ambos sexos;Principado de Asturias;Mediana;2014;19.213
Ambos sexos;Principado de Asturias;Mediana;2013;19.057
Ambos sexos;Principado de Asturias;Mediana;2012;18.785
Ambos sexos;Principado de Asturias;Mediana;2011;19.277
Ambos sexos;Principado de Asturias;Mediana;2010;19.056
Ambos sexos;Principado de Asturias;Mediana;2009;19.202
Ambos sexos;Principado de Asturias;Mediana;2008;18.698
Ambos sexos;Islas Baleares;Mediana;2022;23.134
Ambos sexos;Islas Baleares;Mediana;2021;20.837
Ambos sexos;Islas Baleares;Mediana;2020;20.241
Ambos sexos;Islas Baleares;Mediana;2019;20.277
Ambos sexos;Islas Baleares;Mediana;2018;20.121
Ambos sexos;Islas Baleares;Mediana;2017;19.264
Ambos sexos;Islas Baleares;Mediana;2016;18.847
Ambos sexos;Islas Baleares;Mediana;2015;18.610
Ambos sexos;Islas Baleares;Mediana;2014;18.714
Ambos sexos;Islas Baleares;Mediana;2013;18.031
Ambos sexos;Islas Baleares;Mediana;2012;18.089
Ambos sexos;Islas Baleares;Mediana;2011;18.403
Ambos sexos;Islas Baleares;Mediana;2010;18.406
Ambos sexos;Islas Baleares;Mediana;2009;17.224
Ambos sexos;Islas Baleares;Mediana;2008;16.813
Ambos sexos;Canarias;Mediana;2022;19.214
Ambos sexos;Canarias;Mediana;2021;18.180
Ambos sexos;Canarias;Mediana;2020;17.702
Ambos sexos;Canarias;Mediana;2019;17.379
Ambos sexos;Canarias;Mediana;2018;17.414
Ambos sexos;Canarias;Mediana;2017;17.223
Ambos sexos;Canarias;Mediana;2016;16.834
Ambos sexos;Canarias;Mediana;2015;17.025
Ambos sexos;Canarias;Mediana;2014;16.509
Ambos sexos;Canarias;Mediana;2013;16.405
Ambos sexos;Canarias;Mediana;2012;16.585
Ambos sexos;Canarias;Mediana;2011;16.488
Ambos sexos;Canarias;Mediana;2010;15.897
Ambos sexos;Canarias;Mediana;2009;16.229
Ambos sexos;Canarias;Mediana;2008;15.725
Ambos sexos;Cantabria;Mediana;2022;21.645
Ambos sexos;Cantabria;Mediana;2021;20.872
Ambos sexos;Cantabria;Mediana;2020;20.086
Ambos sexos;Cantabria;Mediana;2019;20.114
Ambos sexos;Cantabria;Mediana;2018;18.911
Ambos sexos;Cantabria;Mediana;2017;19.092
Ambos sexos;Cantabria;Mediana;2016;18.590
Ambos sexos;Cantabria;Mediana;2015;18.861
Ambos sexos;Cantabria;Mediana;2014;18.515
Ambos sexos;Cantabria;Mediana;2013;17.632
Ambos sexos;Cantabria;Mediana;2012;17.284
Ambos sexos;Cantabria;Mediana;2011;18.023
Ambos sexos;Cantabria;Mediana;2010;18.072
Ambos sexos;Cantabria;Mediana;2009;18.002
Ambos sexos;Cantabria;Mediana;2008;17.625
Ambos sexos;Castilla y Leon;Mediana;2022;20.678
Ambos sexos;Castilla y Leon;Mediana;2021;20.344
Ambos sexos;Castilla y Leon;Mediana;2020;19.713
Ambos sexos;Castilla y Leon;Mediana;2019;19.153
Ambos sexos;Castilla y Leon;Mediana;2018;19.058
Ambos sexos;Castilla y Leon;Mediana;2017;18.672
Ambos sexos;Castilla y Leon;Mediana;2016;18.595
Ambos sexos;Castilla y Leon;Mediana;2015;18.382
Ambos sexos;Castilla y Leon;Mediana;2014;17.688
