;Comunidad;Provincia;Fecha;Precio
0;andalucia;almeria-provincia;Noviembre 2024;7,8 €/m2
1;andalucia;almeria-provincia;Octubre 2024;7,7 €/m2
2;andalucia;almeria-provincia;Septiembre 2024;7,7 €/m2
3;andalucia;almeria-provincia;Agosto 2024;7,9 €/m2
4;andalucia;almeria-provincia;Julio 2024;8,1 €/m2
5;andalucia;almeria-provincia;Junio 2024;8,1 €/m2
6;andalucia;almeria-provincia;Mayo 2024;7,9 €/m2
7;andalucia;almeria-provincia;Abril 2024;7,8 €/m2
8;andalucia;almeria-provincia;Marzo 2024;7,5 €/m2
9;andalucia;almeria-provincia;Febrero 2024;7,5 €/m2
10;andalucia;almeria-provincia;Enero 2024;7,4 €/m2
11;andalucia;almeria-provincia;Diciembre 2023;7,3 €/m2
12;andalucia;almeria-provincia;Noviembre 2023;7,3 €/m2
13;andalucia;almeria-provincia;Octubre 2023;7,2 €/m2
14;andalucia;almeria-provincia;Septiembre 2023;7,3 €/m2
15;andalucia;almeria-provincia;Agosto 2023;7,5 €/m2
16;andalucia;almeria-provincia;Julio 2023;7,6 €/m2
17;andalucia;almeria-provincia;Junio 2023;7,4 €/m2
18;andalucia;almeria-provincia;Mayo 2023;7,2 €/m2
19;andalucia;almeria-provincia;Abril 2023;7,1 €/m2
20;andalucia;almeria-provincia;Marzo 2023;7,0 €/m2
21;andalucia;almeria-provincia;Febrero 2023;7,0 €/m2
22;andalucia;almeria-provincia;Enero 2023;6,9 €/m2
23;andalucia;almeria-provincia;Diciembre 2022;6,9 €/m2
24;andalucia;almeria-provincia;Noviembre 2022;6,8 €/m2
25;andalucia;almeria-provincia;Octubre 2022;6,7 €/m2
26;andalucia;almeria-provincia;Septiembre 2022;6,8 €/m2
27;andalucia;almeria-provincia;Agosto 2022;6,9 €/m2
28;andalucia;almeria-provincia;Julio 2022;7,1 €/m2
29;andalucia;almeria-provincia;Junio 2022;7,0 €/m2
30;andalucia;almeria-provincia;Mayo 2022;6,9 €/m2
31;andalucia;almeria-provincia;Abril 2022;6,7 €/m2
32;andalucia;almeria-provincia;Marzo 2022;6,7 €/m2
33;andalucia;almeria-provincia;Febrero 2022;6,6 €/m2
34;andalucia;almeria-provincia;Enero 2022;6,5 €/m2
35;andalucia;almeria-provincia;Diciembre 2021;6,4 €/m2
36;andalucia;almeria-provincia;Noviembre 2021;6,3 €/m2
37;andalucia;almeria-provincia;Octubre 2021;6,2 €/m2
38;andalucia;almeria-provincia;Septiembre 2021;6,2 €/m2
39;andalucia;almeria-provincia;Agosto 2021;6,4 €/m2
40;andalucia;almeria-provincia;Julio 2021;6,5 €/m2
41;andalucia;almeria-provincia;Junio 2021;6,4 €/m2
42;andalucia;almeria-provincia;Mayo 2021;6,3 €/m2
43;andalucia;almeria-provincia;Abril 2021;6,3 €/m2
44;andalucia;almeria-provincia;Marzo 2021;6,2 €/m2
45;andalucia;almeria-provincia;Febrero 2021;6,2 €/m2
46;andalucia;almeria-provincia;Enero 2021;6,2 €/m2
47;andalucia;almeria-provincia;Diciembre 2020;6,1 €/m2
48;andalucia;almeria-provincia;Noviembre 2020;6,1 €/m2
49;andalucia;almeria-provincia;Octubre 2020;6,1 €/m2
50;andalucia;almeria-provincia;Septiembre 2020;6,1 €/m2
51;andalucia;almeria-provincia;Agosto 2020;6,1 €/m2
52;andalucia;almeria-provincia;Julio 2020;6,2 €/m2
53;andalucia;almeria-provincia;Junio 2020;6,3 €/m2
54;andalucia;almeria-provincia;Mayo 2020;6,1 €/m2
55;andalucia;almeria-provincia;Abril 2020;6,1 €/m2
56;andalucia;almeria-provincia;Marzo 2020;6,1 €/m2
57;andalucia;almeria-provincia;Febrero 2020;6,0 €/m2
58;andalucia;almeria-provincia;Enero 2020;6,0 €/m2
59;andalucia;almeria-provincia;Diciembre 2019;6,0 €/m2
60;andalucia;almeria-provincia;Noviembre 2019;5,9 €/m2
61;andalucia;almeria-provincia;Octubre 2019;5,8 €/m2
62;andalucia;almeria-provincia;Septiembre 2019;5,9 €/m2
63;andalucia;almeria-provincia;Agosto 2019;6,0 €/m2
64;andalucia;almeria-provincia;Julio 2019;6,0 €/m2
65;andalucia;almeria-provincia;Junio 2019;6,0 €/m2
66;andalucia;almeria-provincia;Mayo 2019;5,9 €/m2
67;andalucia;almeria-provincia;Abril 2019;5,7 €/m2
68;andalucia;almeria-provincia;Marzo 2019;5,6 €/m2
69;andalucia;almeria-provincia;Febrero 2019;5,6 €/m2
70;andalucia;almeria-provincia;Enero 2019;5,6 €/m2
71;andalucia;almeria-provincia;Diciembre 2018;5,6 €/m2
72;andalucia;almeria-provincia;Noviembre 2018;5,6 €/m2
73;andalucia;almeria-provincia;Octubre 2018;5,6 €/m2
74;andalucia;almeria-provincia;Septiembre 2018;5,6 €/m2
75;andalucia;almeria-provincia;Agosto 2018;5,6 €/m2
76;andalucia;almeria-provincia;Julio 2018;5,6 €/m2
77;andalucia;almeria-provincia;Junio 2018;5,6 €/m2
78;andalucia;almeria-provincia;Mayo 2018;5,5 €/m2
79;andalucia;almeria-provincia;Abril 2018;5,5 €/m2
80;andalucia;almeria-provincia;Marzo 2018;5,3 €/m2
81;andalucia;almeria-provincia;Febrero 2018;5,2 €/m2
82;andalucia;almeria-provincia;Enero 2018;5,2 €/m2
83;andalucia;almeria-provincia;Diciembre 2017;5,2 €/m2
84;andalucia;almeria-provincia;Noviembre 2017;5,2 €/m2
85;andalucia;almeria-provincia;Octubre 2017;5,2 €/m2
86;andalucia;almeria-provincia;Septiembre 2017;5,2 €/m2
87;andalucia;almeria-provincia;Agosto 2017;5,2 €/m2
88;andalucia;almeria-provincia;Julio 2017;5,2 €/m2
89;andalucia;almeria-provincia;Junio 2017;5,2 €/m2
90;andalucia;almeria-provincia;Mayo 2017;5,2 €/m2
91;andalucia;almeria-provincia;Abril 2017;5,1 €/m2
92;andalucia;almeria-provincia;Marzo 2017;5,0 €/m2
93;andalucia;almeria-provincia;Febrero 2017;4,9 €/m2
94;andalucia;almeria-provincia;Enero 2017;4,9 €/m2
95;andalucia;almeria-provincia;Diciembre 2016;4,9 €/m2
96;andalucia;almeria-provincia;Noviembre 2016;4,9 €/m2
97;andalucia;almeria-provincia;Octubre 2016;4,9 €/m2
98;andalucia;almeria-provincia;Septiembre 2016;4,9 €/m2
99;andalucia;almeria-provincia;Agosto 2016;5,0 €/m2
100;andalucia;almeria-provincia;Julio 2016;5,0 €/m2
101;andalucia;almeria-provincia;Junio 2016;4,9 €/m2
102;andalucia;almeria-provincia;Mayo 2016;4,9 €/m2
103;andalucia;almeria-provincia;Abril 2016;4,8 €/m2
104;andalucia;almeria-provincia;Marzo 2016;4,8 €/m2
105;andalucia;almeria-provincia;Febrero 2016;4,8 €/m2
106;andalucia;almeria-provincia;Enero 2016;4,9 €/m2
107;andalucia;almeria-provincia;Diciembre 2015;4,8 €/m2
108;andalucia;almeria-provincia;Noviembre 2015;4,8 €/m2
109;andalucia;almeria-provincia;Octubre 2015;4,7 €/m2
110;andalucia;almeria-provincia;Septiembre 2015;4,8 €/m2
111;andalucia;almeria-provincia;Agosto 2015;4,8 €/m2
112;andalucia;almeria-provincia;Julio 2015;4,8 €/m2
113;andalucia;almeria-provincia;Junio 2015;4,7 €/m2
114;andalucia;almeria-provincia;Mayo 2015;4,6 €/m2
115;andalucia;almeria-provincia;Abril 2015;4,7 €/m2
116;andalucia;almeria-provincia;Marzo 2015;4,7 €/m2
117;andalucia;almeria-provincia;Febrero 2015;4,7 €/m2
118;andalucia;almeria-provincia;Enero 2015;4,6 €/m2
119;andalucia;almeria-provincia;Diciembre 2014;4,6 €/m2
120;andalucia;almeria-provincia;Noviembre 2014;4,7 €/m2
121;andalucia;almeria-provincia;Octubre 2014;4,7 €/m2
122;andalucia;almeria-provincia;Septiembre 2014;4,7 €/m2
123;andalucia;almeria-provincia;Agosto 2014;4,7 €/m2
124;andalucia;almeria-provincia;Julio 2014;4,7 €/m2
125;andalucia;almeria-provincia;Junio 2014;4,7 €/m2
126;andalucia;almeria-provincia;Mayo 2014;4,8 €/m2
127;andalucia;almeria-provincia;Abril 2014;4,7 €/m2
128;andalucia;almeria-provincia;Marzo 2014;4,7 €/m2
129;andalucia;almeria-provincia;Febrero 2014;4,8 €/m2
130;andalucia;almeria-provincia;Enero 2014;4,8 €/m2
131;andalucia;almeria-provincia;Diciembre 2013;4,9 €/m2
132;andalucia;almeria-provincia;Noviembre 2013;4,9 €/m2
133;andalucia;almeria-provincia;Octubre 2013;4,9 €/m2
134;andalucia;almeria-provincia;Septiembre 2013;4,9 €/m2
135;andalucia;almeria-provincia;Agosto 2013;4,9 €/m2
136;andalucia;almeria-provincia;Julio 2013;5,0 €/m2
137;andalucia;almeria-provincia;Junio 2013;5,0 €/m2
