;Comunidad;Provincia;Fecha;Precio
0;andalucia;almeria-provincia;Noviembre 2024;1.297 €/m2
1;andalucia;almeria-provincia;Octubre 2024;1.296 €/m2
2;andalucia;almeria-provincia;Septiembre 2024;1.279 €/m2
3;andalucia;almeria-provincia;Agosto 2024;1.273 €/m2
4;andalucia;almeria-provincia;Julio 2024;1.262 €/m2
5;andalucia;almeria-provincia;Junio 2024;1.254 €/m2
6;andalucia;almeria-provincia;Mayo 2024;1.246 €/m2
7;andalucia;almeria-provincia;Abril 2024;1.234 €/m2
8;andalucia;almeria-provincia;Marzo 2024;1.204 €/m2
9;andalucia;almeria-provincia;Febrero 2024;1.204 €/m2
10;andalucia;almeria-provincia;Enero 2024;1.203 €/m2
11;andalucia;almeria-provincia;Diciembre 2023;1.196 €/m2
12;andalucia;almeria-provincia;Noviembre 2023;1.191 €/m2
13;andalucia;almeria-provincia;Octubre 2023;1.203 €/m2
14;andalucia;almeria-provincia;Septiembre 2023;1.205 €/m2
15;andalucia;almeria-provincia;Agosto 2023;1.197 €/m2
16;andalucia;almeria-provincia;Julio 2023;1.182 €/m2
17;andalucia;almeria-provincia;Junio 2023;1.172 €/m2
18;andalucia;almeria-provincia;Mayo 2023;1.170 €/m2
19;andalucia;almeria-provincia;Abril 2023;1.161 €/m2
20;andalucia;almeria-provincia;Marzo 2023;1.154 €/m2
21;andalucia;almeria-provincia;Febrero 2023;1.146 €/m2
22;andalucia;almeria-provincia;Enero 2023;1.120 €/m2
23;andalucia;almeria-provincia;Diciembre 2022;1.125 €/m2
24;andalucia;almeria-provincia;Noviembre 2022;1.136 €/m2
25;andalucia;almeria-provincia;Octubre 2022;1.143 €/m2
26;andalucia;almeria-provincia;Septiembre 2022;1.142 €/m2
27;andalucia;almeria-provincia;Agosto 2022;1.138 €/m2
28;andalucia;almeria-provincia;Julio 2022;1.124 €/m2
29;andalucia;almeria-provincia;Junio 2022;1.115 €/m2
30;andalucia;almeria-provincia;Mayo 2022;1.112 €/m2
31;andalucia;almeria-provincia;Abril 2022;1.100 €/m2
32;andalucia;almeria-provincia;Marzo 2022;1.090 €/m2
33;andalucia;almeria-provincia;Febrero 2022;1.086 €/m2
34;andalucia;almeria-provincia;Enero 2022;1.088 €/m2
35;andalucia;almeria-provincia;Diciembre 2021;1.089 €/m2
36;andalucia;almeria-provincia;Noviembre 2021;1.096 €/m2
37;andalucia;almeria-provincia;Octubre 2021;1.088 €/m2
38;andalucia;almeria-provincia;Septiembre 2021;1.085 €/m2
39;andalucia;almeria-provincia;Agosto 2021;1.081 €/m2
40;andalucia;almeria-provincia;Julio 2021;1.073 €/m2
41;andalucia;almeria-provincia;Junio 2021;1.076 €/m2
42;andalucia;almeria-provincia;Mayo 2021;1.083 €/m2
43;andalucia;almeria-provincia;Abril 2021;1.079 €/m2
44;andalucia;almeria-provincia;Marzo 2021;1.076 €/m2
45;andalucia;almeria-provincia;Febrero 2021;1.075 €/m2
46;andalucia;almeria-provincia;Enero 2021;1.088 €/m2
47;andalucia;almeria-provincia;Diciembre 2020;1.083 €/m2
48;andalucia;almeria-provincia;Noviembre 2020;1.077 €/m2
49;andalucia;almeria-provincia;Octubre 2020;1.076 €/m2
50;andalucia;almeria-provincia;Septiembre 2020;1.070 €/m2
51;andalucia;almeria-provincia;Agosto 2020;1.064 €/m2
52;andalucia;almeria-provincia;Julio 2020;1.075 €/m2
53;andalucia;almeria-provincia;Junio 2020;1.068 €/m2
54;andalucia;almeria-provincia;Mayo 2020;1.097 €/m2
55;andalucia;almeria-provincia;Abril 2020;1.103 €/m2
56;andalucia;almeria-provincia;Marzo 2020;1.098 €/m2
57;andalucia;almeria-provincia;Febrero 2020;1.087 €/m2
58;andalucia;almeria-provincia;Enero 2020;1.094 €/m2
59;andalucia;almeria-provincia;Diciembre 2019;1.095 €/m2
60;andalucia;almeria-provincia;Noviembre 2019;1.095 €/m2
61;andalucia;almeria-provincia;Octubre 2019;1.101 €/m2
62;andalucia;almeria-provincia;Septiembre 2019;1.107 €/m2
63;andalucia;almeria-provincia;Agosto 2019;1.101 €/m2
64;andalucia;almeria-provincia;Julio 2019;1.091 €/m2
65;andalucia;almeria-provincia;Junio 2019;1.100 €/m2
66;andalucia;almeria-provincia;Mayo 2019;1.090 €/m2
67;andalucia;almeria-provincia;Abril 2019;1.082 €/m2
68;andalucia;almeria-provincia;Marzo 2019;1.088 €/m2
69;andalucia;almeria-provincia;Febrero 2019;1.090 €/m2
70;andalucia;almeria-provincia;Enero 2019;1.091 €/m2
71;andalucia;almeria-provincia;Diciembre 2018;1.087 €/m2
72;andalucia;almeria-provincia;Noviembre 2018;1.095 €/m2
73;andalucia;almeria-provincia;Octubre 2018;1.103 €/m2
74;andalucia;almeria-provincia;Septiembre 2018;1.099 €/m2
75;andalucia;almeria-provincia;Agosto 2018;1.084 €/m2
