;Provincia;Fecha;Poblacion;Comunidad;Poblacion_normalizado
0;Albacete;2023-01-01;387529.0;Castilla-La Mancha;0.2245201853077432
1;Albacete;2022-10-01;386929.0;Castilla-La Mancha;0.1914295168762409
2;Albacete;2022-07-01;386330.0;Castilla-La Mancha;0.15839399955879108
3;Albacete;2022-04-01;386047.0;Castilla-La Mancha;0.1427862342819325
4;Albacete;2022-01-01;385967.0;Castilla-La Mancha;0.1383741451577322
5;Albacete;2021-10-01;386239.0;Castilla-La Mancha;0.15337524818001325
6;Albacete;2021-07-01;386073.0;Castilla-La Mancha;0.14422016324729758
7;Albacete;2021-04-01;386546.0;Castilla-La Mancha;0.17030664019413191
8;Albacete;2021-01-01;386726.0;Castilla-La Mancha;0.18023384072358262
10;Albacete;2020-07-01;386847.0;Castilla-La Mancha;0.1869071255239356
12;Albacete;2020-01-01;387838.0;Castilla-La Mancha;0.2415618795499669
14;Albacete;2019-07-01;387730.0;Castilla-La Mancha;0.23560555923229648
16;Albacete;2019-01-01;387818.0;Castilla-La Mancha;0.24045885726891683
18;Albacete;2018-07-01;387804.0;Castilla-La Mancha;0.2396867416721818
20;Albacete;2018-01-01;388948.0;Castilla-La Mancha;0.3027796161482462
22;Albacete;2017-07-01;388964.0;Castilla-La Mancha;0.3036620339730863
24;Albacete;2017-01-01;390225.0;Castilla-La Mancha;0.37320758879329363
26;Albacete;2016-07-01;390823.0;Castilla-La Mancha;0.4061879549966909
28;Albacete;2016-01-01;391865.0;Castilla-La Mancha;0.46365541583939995
30;Albacete;2015-07-01;392673.0;Castilla-La Mancha;0.508217515993823
32;Albacete;2015-01-01;394012.0;Castilla-La Mancha;0.5820648577101257
34;Albacete;2014-07-01;394908.0;Castilla-La Mancha;0.6314802559011692
36;Albacete;2014-01-01;396017.0;Castilla-La Mancha;0.692642841385396
38;Albacete;2013-07-01;397245.0;Castilla-La Mancha;0.7603684094418707
40;Albacete;2013-01-01;399093.0;Castilla-La Mancha;0.8622876682108979
42;Albacete;2012-07-01;400147.0;Castilla-La Mancha;0.9204169424222369
44;Albacete;2012-01-01;401590.0;Castilla-La Mancha;1.0
46;Albacete;2011-07-01;401254.0;Castilla-La Mancha;0.9814692256783587
48;Albacete;2011-01-01;400847.0;Castilla-La Mancha;0.9590227222589897
50;Albacete;2010-07-01;399967.0;Castilla-La Mancha;0.9104897418927862
52;Albacete;2010-01-01;399448.0;Castilla-La Mancha;0.8818663136995367
54;Albacete;2009-07-01;398645.0;Castilla-La Mancha;0.8375799691153761
56;Albacete;2009-01-01;397881.0;Castilla-La Mancha;0.7954445179792632
58;Albacete;2008-07-01;396292.0;Castilla-La Mancha;0.7078093977498345
60;Albacete;2008-01-01;394521.0;Castilla-La Mancha;0.6101367747628502
62;Albacete;2007-07-01;392025.0;Castilla-La Mancha;0.47247959408780055
64;Albacete;2007-01-01;389127.0;Castilla-La Mancha;0.3126516655636444
66;Albacete;2006-07-01;386095.0;Castilla-La Mancha;0.14543348775645268
68;Albacete;2006-01-01;383458.0;Castilla-La Mancha;0.0
69;Alicante;2023-01-01;1955268.0;Valencia;1.0
70;Alicante;2022-10-01;1943936.0;Valencia;0.9530443286068271
71;Alicante;2022-07-01;1931217.0;Valencia;0.9003414355208964
