;Provincia;Comunidad;Fecha;Salario;Salario_normalizado
0;Almeria;Andalucia;2022-01-01;19.884;1.0
1;Cadiz;Andalucia;2022-01-01;19.884;1.0
2;Cordoba;Andalucia;2022-01-01;19.884;1.0
3;Granada;Andalucia;2022-01-01;19.884;1.0
4;Huelva;Andalucia;2022-01-01;19.884;1.0
5;Jaen;Andalucia;2022-01-01;19.884;1.0
6;Malaga;Andalucia;2022-01-01;19.884;1.0
7;Sevilla;Andalucia;2022-01-01;19.884;1.0
8;Almeria;Andalucia;2021-01-01;19.522;0.8558917197452222
9;Cadiz;Andalucia;2021-01-01;19.522;0.8558917197452222
10;Cordoba;Andalucia;2021-01-01;19.522;0.8558917197452222
11;Granada;Andalucia;2021-01-01;19.522;0.8558917197452222
12;Huelva;Andalucia;2021-01-01;19.522;0.8558917197452222
13;Jaen;Andalucia;2021-01-01;19.522;0.8558917197452222
14;Malaga;Andalucia;2021-01-01;19.522;0.8558917197452222
15;Sevilla;Andalucia;2021-01-01;19.522;0.8558917197452222
16;Almeria;Andalucia;2020-01-01;18.767;0.5553343949044584
17;Cadiz;Andalucia;2020-01-01;18.767;0.5553343949044584
18;Cordoba;Andalucia;2020-01-01;18.767;0.5553343949044584
19;Granada;Andalucia;2020-01-01;18.767;0.5553343949044584
20;Huelva;Andalucia;2020-01-01;18.767;0.5553343949044584
21;Jaen;Andalucia;2020-01-01;18.767;0.5553343949044584
22;Malaga;Andalucia;2020-01-01;18.767;0.5553343949044584
23;Sevilla;Andalucia;2020-01-01;18.767;0.5553343949044584
24;Almeria;Andalucia;2019-01-01;18.672;0.5175159235668791
25;Cadiz;Andalucia;2019-01-01;18.672;0.5175159235668791
26;Cordoba;Andalucia;2019-01-01;18.672;0.5175159235668791
27;Granada;Andalucia;2019-01-01;18.672;0.5175159235668791
28;Huelva;Andalucia;2019-01-01;18.672;0.5175159235668791
29;Jaen;Andalucia;2019-01-01;18.672;0.5175159235668791
30;Malaga;Andalucia;2019-01-01;18.672;0.5175159235668791
31;Sevilla;Andalucia;2019-01-01;18.672;0.5175159235668791
32;Almeria;Andalucia;2018-01-01;18.317;0.3761942675159236
33;Cadiz;Andalucia;2018-01-01;18.317;0.3761942675159236
34;Cordoba;Andalucia;2018-01-01;18.317;0.3761942675159236
35;Granada;Andalucia;2018-01-01;18.317;0.3761942675159236
36;Huelva;Andalucia;2018-01-01;18.317;0.3761942675159236
37;Jaen;Andalucia;2018-01-01;18.317;0.3761942675159236
38;Malaga;Andalucia;2018-01-01;18.317;0.3761942675159236
39;Sevilla;Andalucia;2018-01-01;18.317;0.3761942675159236
40;Almeria;Andalucia;2017-01-01;18.252;0.35031847133757915
41;Cadiz;Andalucia;2017-01-01;18.252;0.35031847133757915
42;Cordoba;Andalucia;2017-01-01;18.252;0.35031847133757915
43;Granada;Andalucia;2017-01-01;18.252;0.35031847133757915
44;Huelva;Andalucia;2017-01-01;18.252;0.35031847133757915
45;Jaen;Andalucia;2017-01-01;18.252;0.35031847133757915
46;Malaga;Andalucia;2017-01-01;18.252;0.35031847133757915
47;Sevilla;Andalucia;2017-01-01;18.252;0.35031847133757915
48;Almeria;Andalucia;2016-01-01;18.052;0.270700636942675
49;Cadiz;Andalucia;2016-01-01;18.052;0.270700636942675
50;Cordoba;Andalucia;2016-01-01;18.052;0.270700636942675
51;Granada;Andalucia;2016-01-01;18.052;0.270700636942675
52;Huelva;Andalucia;2016-01-01;18.052;0.270700636942675
53;Jaen;Andalucia;2016-01-01;18.052;0.270700636942675
54;Malaga;Andalucia;2016-01-01;18.052;0.270700636942675
55;Sevilla;Andalucia;2016-01-01;18.052;0.270700636942675
56;Almeria;Andalucia;2015-01-01;18.102;0.2906050955414014
57;Cadiz;Andalucia;2015-01-01;18.102;0.2906050955414014
58;Cordoba;Andalucia;2015-01-01;18.102;0.2906050955414014
59;Granada;Andalucia;2015-01-01;18.102;0.2906050955414014
60;Huelva;Andalucia;2015-01-01;18.102;0.2906050955414014
61;Jaen;Andalucia;2015-01-01;18.102;0.2906050955414014
62;Malaga;Andalucia;2015-01-01;18.102;0.2906050955414014
63;Sevilla;Andalucia;2015-01-01;18.102;0.2906050955414014
64;Almeria;Andalucia;2014-01-01;18.034;0.26353503184713334
65;Cadiz;Andalucia;2014-01-01;18.034;0.26353503184713334
66;Cordoba;Andalucia;2014-01-01;18.034;0.26353503184713334
67;Granada;Andalucia;2014-01-01;18.034;0.26353503184713334
68;Huelva;Andalucia;2014-01-01;18.034;0.26353503184713334
69;Jaen;Andalucia;2014-01-01;18.034;0.26353503184713334
70;Malaga;Andalucia;2014-01-01;18.034;0.26353503184713334
71;Sevilla;Andalucia;2014-01-01;18.034;0.26353503184713334
72;Almeria;Andalucia;2013-01-01;17.722;0.13933121019108335
73;Cadiz;Andalucia;2013-01-01;17.722;0.13933121019108335
74;Cordoba;Andalucia;2013-01-01;17.722;0.13933121019108335
75;Granada;Andalucia;2013-01-01;17.722;0.13933121019108335
76;Huelva;Andalucia;2013-01-01;17.722;0.13933121019108335
77;Jaen;Andalucia;2013-01-01;17.722;0.13933121019108335
78;Malaga;Andalucia;2013-01-01;17.722;0.13933121019108335
79;Sevilla;Andalucia;2013-01-01;17.722;0.13933121019108335
80;Almeria;Andalucia;2012-01-01;17.91;0.21417197452229306
81;Cadiz;Andalucia;2012-01-01;17.91;0.21417197452229306
82;Cordoba;Andalucia;2012-01-01;17.91;0.21417197452229306
83;Granada;Andalucia;2012-01-01;17.91;0.21417197452229306
