;Fecha;Provincia;Viajeros;Comunidad;Viajeros_normalizado
1;2005-01-01;A Coruna;455.0;Galicia;0.02592444874935901
3;2005-01-01;Alicante;18633.0;Valencia;0.07709015986495879
5;2005-01-01;Almeria;3196.0;Andalucia;0.05938974987921359
7;2005-01-01;Asturias;561.0;Principado de Asturias;0.021406494448048232
9;2005-01-01;Barcelona;7642.0;Cataluna;0.18719839306273425
11;2005-01-01;Cadiz;576.0;Andalucia;0.009513270682279881
13;2005-01-01;Cantabria;1023.0;Cantabria;0.03371119752191393
15;2005-01-01;Castellon;999.0;Valencia;0.010830324909747292
17;2005-01-01;Cordoba;523.0;Andalucia;0.048814635056934855
19;2005-01-01;Girona;2915.0;Cataluna;0.02009693409722366
21;2005-01-01;Granada;8398.0;Andalucia;0.1891185875782552
23;2005-01-01;Guipuzcoa;114.0;Pais Vasco;0.00819848975188781
25;2005-01-01;Huelva;1267.0;Andalucia;0.04049475837381744
27;2005-01-01;Huesca;3264.0;Aragon;0.20505088578967207
29;2005-01-01;Islas Baleares;8038.0;Islas Baleares;0.024532499916068207
31;2005-01-01;Jaen;1006.0;Andalucia;0.09607487346003248
33;2005-01-01;La Rioja;318.0;La Rioja;0.020629257216996433
35;2005-01-01;Las Palmas;261551.0;Canarias;0.7984315329643661
37;2005-01-01;Lleida;4065.0;Cataluna;0.5126749905410518
39;2005-01-01;Lugo;249.0;Galicia;0.015603459080085223
41;2005-01-01;Madrid;17750.0;Comunidad de Madrid;0.23589293783058235
43;2005-01-01;Malaga;18887.0;Andalucia;0.10592524045876447
45;2005-01-01;Murcia;1143.0;Region de Murcia;0.03484756097560976
47;2005-01-01;Navarra;1400.0;Navarra;0.05242856607871775
49;2005-01-01;Santa Cruz de Tenerife;106399.0;Canarias;0.7317876695369886
51;2005-01-01;Sevilla;1549.0;Andalucia;0.025547144294361158
53;2005-01-01;Tarragona;400.0;Cataluna;0.004866120850111313
55;2005-01-01;Valencia;1483.0;Valencia;0.02024683941785217
57;2005-02-01;A Coruna;460.0;Galicia;0.02620933280154977
59;2005-02-01;Alicante;25059.0;Valencia;0.10367639757720187
61;2005-02-01;Almeria;3963.0;Andalucia;0.07364254654922511
63;2005-02-01;Asturias;1013.0;Principado de Asturias;0.03865379478765216
65;2005-02-01;Barcelona;8858.0;Cataluna;0.21698552286701125
67;2005-02-01;Cadiz;940.0;Andalucia;0.015525129238442863
69;2005-02-01;Cantabria;1218.0;Cantabria;0.040137085612601334
71;2005-02-01;Castellon;4396.0;Valencia;0.047657766069318416
73;2005-02-01;Cordoba;570.0;Andalucia;0.053201418704498786
75;2005-02-01;Girona;3070.0;Cataluna;0.021165553234468826
77;2005-02-01;Granada;12319.0;Andalucia;0.2774174661081836
79;2005-02-01;Guipuzcoa;162.0;Pais Vasco;0.011650485436893204
81;2005-02-01;Huelva;1750.0;Andalucia;0.055931986704167734
83;2005-02-01;Huesca;4052.0;Aragon;0.254554592285463
85;2005-02-01;Islas Baleares;8774.0;Islas Baleares;0.026778819888477537
87;2005-02-01;Jaen;1874.0;Andalucia;0.17897048992455353
89;2005-02-01;La Rioja;320.0;La Rioja;0.02075900097307817
91;2005-02-01;Las Palmas;259924.0;Canarias;0.7934648224408619
93;2005-02-01;Lleida;4026.0;Cataluna;0.5077563374952705
95;2005-02-01;Lugo;190.0;Galicia;0.011906253916530893
97;2005-02-01;Madrid;18848.0;Comunidad de Madrid;0.25048507561863753
99;2005-02-01;Malaga;20788.0;Andalucia;0.11658674742716132
101;2005-02-01;Murcia;1492.0;Region de Murcia;0.04548780487804878
103;2005-02-01;Navarra;1832.0;Navarra;0.06860652361157922
105;2005-02-01;Santa Cruz de Tenerife;120032.0;Canarias;0.8255522847946298
107;2005-02-01;Sevilla;2346.0;Andalucia;0.03869180149423581
109;2005-02-01;Tarragona;444.0;Cataluna;0.005401394143623557
111;2005-02-01;Valencia;2400.0;Valencia;0.03276629440515523
113;2005-03-01;A Coruna;784.0;Galicia;0.04466981938351091
115;2005-03-01;Alicante;40320.0;Valencia;0.1668156091748585
117;2005-03-01;Almeria;3762.0;Andalucia;0.06990745902553239
119;2005-03-01;Asturias;2992.0;Principado de Asturias;0.11416797038959056
121;2005-03-01;Barcelona;6993.0;Cataluna;0.1713004923694976
123;2005-03-01;Cadiz;2181.0;Andalucia;0.03602160305217434
125;2005-03-01;Cantabria;2308.0;Cantabria;0.07605615237593093
127;2005-03-01;Castellon;6421.0;Valencia;0.06961112737286022
129;2005-03-01;Cordoba;824.0;Andalucia;0.07690871756580175
131;2005-03-01;Girona;4340.0;Cataluna;0.029921335842864726
133;2005-03-01;Granada;12588.0;Andalucia;0.28347520605323606
135;2005-03-01;Guipuzcoa;188.0;Pais Vasco;0.013520316432937792
137;2005-03-01;Huelva;2028.0;Andalucia;0.06481718230631552
139;2005-03-01;Huesca;3934.0;Aragon;0.24714160070360597
141;2005-03-01;Islas Baleares;9509.0;Islas Baleares;0.029022087795706964
143;2005-03-01;Jaen;2958.0;Andalucia;0.28249450864291853
145;2005-03-01;La Rioja;475.0;La Rioja;0.03081414206941291
147;2005-03-01;Las Palmas;277685.0;Canarias;0.8476834737057399
149;2005-03-01;Lleida;4141.0;Cataluna;0.5222600580148821
151;2005-03-01;Lugo;527.0;Galicia;0.033024188494798844
153;2005-03-01;Madrid;19680.0;Comunidad de Madrid;0.2615421417749781
155;2005-03-01;Malaga;30026.0;Andalucia;0.16839684809736127
157;2005-03-01;Murcia;6086.0;Region de Murcia;0.18554878048780488
159;2005-03-01;Navarra;2238.0;Navarra;0.08381080777440737
161;2005-03-01;Santa Cruz de Tenerife;123421.0;Canarias;0.8488610415692316
163;2005-03-01;Sevilla;3361.0;Andalucia;0.05543186053799086
165;2005-03-01;Tarragona;14624.0;Cataluna;0.17790537828006958
167;2005-03-01;Valencia;4266.0;Valencia;0.05824208830516342
169;2005-04-01;A Coruna;650.0;Galicia;0.03703492678479859
171;2005-04-01;Alicante;34201.0;Valencia;0.14149952007414027
