;Provincia;Fecha;Viviendas;Comunidad;Viviendas_normalizado
0;A Coruna;2001-01-01;527877;Galicia;0.0
1;A Coruna;2002-01-01;542156;Galicia;0.08773417387083494
2;A Coruna;2003-01-01;554572;Galicia;0.1640215541341788
3;A Coruna;2004-01-01;568788;Galicia;0.25136863836611306
4;A Coruna;2005-01-01;583302;Galicia;0.3405467180328473
5;A Coruna;2006-01-01;597309;Galicia;0.4266096477484286
6;A Coruna;2007-01-01;612717;Galicia;0.5212807137195627
7;A Coruna;2008-01-01;627888;Galicia;0.6144955853348325
8;A Coruna;2009-01-01;637487;Galicia;0.6734745288873324
9;A Coruna;2010-01-01;644022;Galicia;0.7136273985732982
10;A Coruna;2011-01-01;647370;Galicia;0.7341984479548764
11;A Coruna;2012-01-01;658739;Galicia;0.8040527670764901
12;A Coruna;2013-01-01;660418;Galicia;0.814369013167192
13;A Coruna;2014-01-01;661741;Galicia;0.822497895584106
14;A Coruna;2015-01-01;661891;Galicia;0.8234195375814886
15;A Coruna;2016-01-01;673200;Galicia;0.8929051999041492
16;A Coruna;2017-01-01;674053;Galicia;0.8981462707292646
17;A Coruna;2018-01-01;675142;Galicia;0.9048373916302618
18;A Coruna;2019-01-01;676491;Galicia;0.913126025326722
19;A Coruna;2020-01-01;686961;Galicia;0.9774566367440232
20;A Coruna;2021-01-01;688240;Galicia;0.985315170841705
21;A Coruna;2022-01-01;689292;Galicia;0.9917789533833478
22;A Coruna;2023-01-01;690630;Galicia;1.0
23;Alava;2001-01-01;125019;Pais Vasco;0.0
24;Alava;2002-01-01;128166;Pais Vasco;0.06983866314551386
25;Alava;2003-01-01;129674;Pais Vasco;0.10330440957812742
26;Alava;2004-01-01;132554;Pais Vasco;0.16721777146534697
27;Alava;2005-01-01;135259;Pais Vasco;0.22724750893233617
28;Alava;2006-01-01;138438;Pais Vasco;0.29779632054326355
29;Alava;2007-01-01;142900;Pais Vasco;0.3968176471893655
30;Alava;2008-01-01;146854;Pais Vasco;0.48456536694702734
31;Alava;2009-01-01;150664;Pais Vasco;0.5691174186103283
32;Alava;2010-01-01;153934;Pais Vasco;0.6416857149197754
33;Alava;2011-01-01;156411;Pais Vasco;0.6966556445706931
34;Alava;2012-01-01;160514;Pais Vasco;0.7877099931204368
35;Alava;2013-01-01;161433;Pais Vasco;0.8081045693615322
36;Alava;2014-01-01;162404;Pais Vasco;0.8296531368589246
37;Alava;2015-01-01;162599;Pais Vasco;0.8339806040700384
38;Alava;2016-01-01;164718;Pais Vasco;0.881005747764142
39;Alava;2017-01-01;164929;Pais Vasco;0.8856882892079625
40;Alava;2018-01-01;165382;Pais Vasco;0.8957413284214731
41;Alava;2019-01-01;165950;Pais Vasco;0.9083464636825637
42;Alava;2020-01-01;168086;Pais Vasco;0.9557488737489181
43;Alava;2021-01-01;168514;Pais Vasco;0.9652471094738244
44;Alava;2022-01-01;169437;Pais Vasco;0.9857304542730965
45;Alava;2023-01-01;170080;Pais Vasco;1.0
46;Albacete;2001-01-01;185560;Castilla-La Mancha;0.0
47;Albacete;2002-01-01;188828;Castilla-La Mancha;0.0563224928045775
48;Albacete;2003-01-01;191880;Castilla-La Mancha;0.10892232390603726
49;Albacete;2004-01-01;193585;Castilla-La Mancha;0.13830722299777676
50;Albacete;2005-01-01;196255;Castilla-La Mancha;0.1843234579390931
51;Albacete;2006-01-01;199460;Castilla-La Mancha;0.23956017441359462
52;Albacete;2007-01-01;203264;Castilla-La Mancha;0.30512038329627905
53;Albacete;2008-01-01;209438;Castilla-La Mancha;0.41152646364372747
54;Albacete;2009-01-01;213068;Castilla-La Mancha;0.47408786171001155
55;Albacete;2010-01-01;215338;Castilla-La Mancha;0.5132102786825914
56;Albacete;2011-01-01;216439;Castilla-La Mancha;0.5321855126415387
57;Albacete;2012-01-01;223443;Castilla-La Mancha;0.6528962652741155
58;Albacete;2013-01-01;223901;Castilla-La Mancha;0.6607896868483187
59;Albacete;2014-01-01;224341;Castilla-La Mancha;0.6683728866139289
60;Albacete;2015-01-01;224807;Castilla-La Mancha;0.6764041845475071
61;Albacete;2016-01-01;232416;Castilla-La Mancha;0.8075418368577978
62;Albacete;2017-01-01;233000;Castilla-La Mancha;0.8176068110921532
63;Albacete;2018-01-01;233484;Castilla-La Mancha;0.8259483308343243
64;Albacete;2019-01-01;234255;Castilla-La Mancha;0.839236164969064
65;Albacete;2020-01-01;241313;Castilla-La Mancha;0.9608775830274202
66;Albacete;2021-01-01;241922;Castilla-La Mancha;0.9713734208848215
67;Albacete;2022-01-01;242761;Castilla-La Mancha;0.9858332040742465
68;Albacete;2023-01-01;243583;Castilla-La Mancha;1.0
69;Alicante;2001-01-01;1009930;Valencia;0.0
70;Alicante;2002-01-01;1042423;Valencia;0.09217087907412135
71;Alicante;2003-01-01;1073488;Valencia;0.18029103906050548
72;Alicante;2004-01-01;1110942;Valencia;0.2865344793350921
73;Alicante;2005-01-01;1152857;Valencia;0.40543216180183245
74;Alicante;2006-01-01;1194263;Valencia;0.5228859955181119
75;Alicante;2007-01-01;1224908;Valencia;0.6098147675375145
76;Alicante;2008-01-01;1251882;Valencia;0.6863302413978952
77;Alicante;2009-01-01;1267896;Valencia;0.7317561625960911
78;Alicante;2010-01-01;1274375;Valencia;0.7501347403057895
79;Alicante;2011-01-01;1274647;Valencia;0.7509063058463109
80;Alicante;2012-01-01;1289232;Valencia;0.7922786713187531
81;Alicante;2013-01-01;1290634;Valencia;0.7962556378180581
82;Alicante;2014-01-01;1292582;Valencia;0.801781408674439
83;Alicante;2015-01-01;1296960;Valencia;0.8142002099112132
84;Alicante;2016-01-01;1316550;Valencia;0.8697699486568519
85;Alicante;2017-01-01;1321010;Valencia;0.8824213542109891
86;Alicante;2018-01-01;1327113;Valencia;0.8997333560264374
87;Alicante;2019-01-01;1331367;Valencia;0.9118004141491505
88;Alicante;2020-01-01;1350006;Valencia;0.9646725101409809
89;Alicante;2021-01-01;1355524;Valencia;0.9803250787167049
90;Alicante;2022-01-01;1359031;Valencia;0.9902731682410008
91;Alicante;2023-01-01;1362460;Valencia;1.0
92;Almeria;2001-01-01;273649;Andalucia;0.0
93;Almeria;2002-01-01;283519;Andalucia;0.060550661333464206
94;Almeria;2003-01-01;294278;Andalucia;0.12655517656008441
95;Almeria;2004-01-01;306016;Andalucia;0.1985656793698314
96;Almeria;2005-01-01;314757;Andalucia;0.2521901303035508
97;Almeria;2006-01-01;336614;Andalucia;0.3862788643223479
98;Almeria;2007-01-01;357315;Andalucia;0.513275747834409
99;Almeria;2008-01-01;374027;Andalucia;0.6158008392432087
100;Almeria;2009-01-01;382948;Andalucia;0.6705295575568697
101;Almeria;2010-01-01;385917;Andalucia;0.6887438345071286
102;Almeria;2011-01-01;395226;Andalucia;0.7458528625064416
103;Almeria;2012-01-01;405501;Andalucia;0.8088881254447744
104;Almeria;2013-01-01;406271;Andalucia;0.8136119359034134
105;Almeria;2014-01-01;406791;Andalucia;0.8168020416676891
106;Almeria;2015-01-01;407034;Andalucia;0.8182928026306103
107;Almeria;2016-01-01;419706;Andalucia;0.8960332261784987
108;Almeria;2017-01-01;420163;Andalucia;0.8988368383597949
109;Almeria;2018-01-01;421097;Andalucia;0.9045667590979363
110;Almeria;2019-01-01;422122;Andalucia;0.9108549483448259
111;Almeria;2020-01-01;433763;Andalucia;0.98227037373316
112;Almeria;2021-01-01;434584;Andalucia;0.9873070599494491
113;Almeria;2022-01-01;435677;Andalucia;0.9940124168732055
114;Almeria;2023-01-01;436653;Andalucia;1.0
115;Asturias;2001-01-01;524336;Principado de Asturias;0.0
116;Asturias;2002-01-01;532501;Principado de Asturias;0.05199510933937873
117;Asturias;2003-01-01;541156;Principado de Asturias;0.10711056204388858
118;Asturias;2004-01-01;552308;Principado de Asturias;0.17812702981519926
119;Asturias;2005-01-01;564047;Principado de Asturias;0.25288154157698334
120;Asturias;2006-01-01;576333;Principado de Asturias;0.33111937542188313
121;Asturias;2007-01-01;586204;Principado de Asturias;0.3939783741100653
122;Asturias;2008-01-01;596656;Principado de Asturias;0.46053720850261726
123;Asturias;2009-01-01;602723;Principado de Asturias;0.49917215380108765
124;Asturias;2010-01-01;609935;Principado de Asturias;0.5450985136976706
125;Asturias;2011-01-01;615163;Principado de Asturias;0.5783906669893144
126;Asturias;2012-01-01;632294;Principado de Asturias;0.6874816918629086
127;Asturias;2013-01-01;634262;Principado de Asturias;0.7000140097049047
128;Asturias;2014-01-01;634843;Principado de Asturias;0.7037138454092744
129;Asturias;2015-01-01;635367;Principado de Asturias;0.7070507023956596
130;Asturias;2016-01-01;653064;Principado de Asturias;0.8197460422583644
131;Asturias;2017-01-01;654296;Principado de Asturias;0.8275914770049798
132;Asturias;2018-01-01;654982;Principado de Asturias;0.8319599577161634
133;Asturias;2019-01-01;656732;Principado de Asturias;0.8431040411630603
134;Asturias;2020-01-01;674342;Principado de Asturias;0.9552453608772622
135;Asturias;2021-01-01;676211;Principado de Asturias;0.9671472419985481
136;Asturias;2022-01-01;678652;Principado de Asturias;0.9826916463950482
137;Asturias;2023-01-01;681370;Principado de Asturias;1.0
138;Avila;2001-01-01;142362;Castilla y Leon;0.0
139;Avila;2002-01-01;143800;Castilla y Leon;0.04745404745404745
140;Avila;2003-01-01;145102;Castilla y Leon;0.09042009042009042
141;Avila;2004-01-01;146669;Castilla y Leon;0.14213114213114214
142;Avila;2005-01-01;148451;Castilla y Leon;0.20093720093720094
143;Avila;2006-01-01;151867;Castilla y Leon;0.31366531366531364
144;Avila;2007-01-01;155399;Castilla y Leon;0.4302214302214302
145;Avila;2008-01-01;159310;Castilla y Leon;0.5592845592845593
146;Avila;2009-01-01;161450;Castilla y Leon;0.6299046299046299
147;Avila;2010-01-01;163311;Castilla y Leon;0.6913176913176913
148;Avila;2011-01-01;163662;Castilla y Leon;0.702900702900703
149;Avila;2012-01-01;166101;Castilla y Leon;0.7833877833877834
150;Avila;2013-01-01;166616;Castilla y Leon;0.8003828003828004
151;Avila;2014-01-01;166941;Castilla y Leon;0.8111078111078112
152;Avila;2015-01-01;167339;Castilla y Leon;0.8242418242418242
153;Avila;2016-01-01;169419;Castilla y Leon;0.8928818928818929
154;Avila;2017-01-01;169663;Castilla y Leon;0.9009339009339009
155;Avila;2018-01-01;169897;Castilla y Leon;0.9086559086559086
156;Avila;2019-01-01;170128;Castilla y Leon;0.9162789162789163
157;Avila;2020-01-01;171947;Castilla y Leon;0.9763059763059763
158;Avila;2021-01-01;172155;Castilla y Leon;0.9831699831699832
159;Avila;2022-01-01;172368;Castilla y Leon;0.9901989901989902
160;Avila;2023-01-01;172665;Castilla y Leon;1.0
161;Badajoz;2001-01-01;318145;Extremadura;0.0
162;Badajoz;2002-01-01;323878;Extremadura;0.06880948665938524
163;Badajoz;2003-01-01;329340;Extremadura;0.13436633580181714
164;Badajoz;2004-01-01;334136;Extremadura;0.1919296182051682
165;Badajoz;2005-01-01;340084;Extremadura;0.26331961064368614
166;Badajoz;2006-01-01;344823;Extremadura;0.32019875895675554
167;Badajoz;2007-01-01;352307;Extremadura;0.410024364775496
168;Badajoz;2008-01-01;359221;Extremadura;0.4930086296914195
169;Badajoz;2009-01-01;366514;Extremadura;0.5805417861900932
170;Badajoz;2010-01-01;370065;Extremadura;0.6231621397793967
171;Badajoz;2011-01-01;372837;Extremadura;0.6564326608015171
172;Badajoz;2012-01-01;380011;Extremadura;0.7425375373573221
173;Badajoz;2013-01-01;380997;Extremadura;0.7543718568839493
174;Badajoz;2014-01-01;381849;Extremadura;0.7645978611807914
175;Badajoz;2015-01-01;382755;Extremadura;0.7754719925105321
176;Badajoz;2016-01-01;389601;Extremadura;0.857640097459102
177;Badajoz;2017-01-01;390317;Extremadura;0.866233781821237
178;Badajoz;2018-01-01;391209;Extremadura;0.8769398802165225
179;Badajoz;2019-01-01;392034;Extremadura;0.8868418209969154
180;Badajoz;2020-01-01;398348;Extremadura;0.9626246744361895
181;Badajoz;2021-01-01;399420;Extremadura;0.9754911962744698
182;Badajoz;2022-01-01;400356;Extremadura;0.986725398178043
183;Badajoz;2023-01-01;401462;Extremadura;1.0
184;Barcelona;2001-01-01;2280334;Cataluna;0.0
185;Barcelona;2002-01-01;2320584;Cataluna;0.11646041358637312
186;Barcelona;2003-01-01;2355184;Cataluna;0.2165729678742864
187;Barcelona;2004-01-01;2402536;Cataluna;0.3535824959275023
188;Barcelona;2005-01-01;2441140;Cataluna;0.4652803296191383
189;Barcelona;2006-01-01;2477529;Cataluna;0.5705692237804931
190;Barcelona;2007-01-01;2513184;Cataluna;0.6737343429462604
191;Barcelona;2008-01-01;2555491;Cataluna;0.7961465346878427
192;Barcelona;2009-01-01;2577144;Cataluna;0.8587978970576746
193;Barcelona;2010-01-01;2589562;Cataluna;0.8947284663971922
194;Barcelona;2011-01-01;2604934;Cataluna;0.939206217394701
195;Barcelona;2012-01-01;2604058;Cataluna;0.9366715758468336
196;Barcelona;2013-01-01;2603182;Cataluna;0.9341369342989662
197;Barcelona;2014-01-01;2602306;Cataluna;0.9316022927510987
198;Barcelona;2015-01-01;2601430;Cataluna;0.9290676512032314
199;Barcelona;2016-01-01;2600554;Cataluna;0.926533009655364
200;Barcelona;2017-01-01;2599678;Cataluna;0.9239983681074966
201;Barcelona;2018-01-01;2598802;Cataluna;0.9214637265596292
202;Barcelona;2019-01-01;2597926;Cataluna;0.9189290850117617
203;Barcelona;2020-01-01;2597046;Cataluna;0.9163828697581964
204;Barcelona;2021-01-01;2607428;Cataluna;0.9464224228974194
205;Barcelona;2022-01-01;2616924;Cataluna;0.9738984002245299
